"nomterritoire","nombreenroles"
"Bambesa",56983
"Kongolo",227071
"Lubao",203678
"Tshilenge",160064
"Katanda",115450
"Gbadolite Ville",60983
"Kiri",108935
"Aketi",83257
"Kapanga",107380
"Djolu",148402
"Dekese",65925
"Bongandanga",269030
"Kenge",246887
"Bafwasende",81934
"Seke-Banza",118339
"Tshela",146378
"Pweto",215417
"Mutshatsha",146577
"Miabi",110732
"Beni",675600
"Walikale",200821
"Kabongo",280459
"Businga",245244
"Lupatapata",110005
"Dimbelenge",196503
"Kindu Ville",148426
"Lukolela",101804
"Inongo-Ville",27215
"Bolobo",58588
"Punia",72110
"Lubutu",76054
"Malemba-Nkulu",327792
"Kisangani Ville",310520
"Demba",239831
"Bomongo",100264
"Bokungu",172894
"Lubefu",137553
"Basoko",141231
"Luozi",96647
"Kaniama",142518
"Kabinda",216984
"Kalemie",124368
"Oshwe",91589
"Butembo Ville",330744
"KinshasaTerritoire",4457019
"Dungu",107582
"Mankanza",66754
"Ingende",115879
"Manono",211813
"Kasongo-Lunda",328811
"Kananga Ville",320403
"Luebo",157264
"Nyunzu",96301
"Lusambo-Ville",39578
"Lubudi",208381
"Kipushi",172353
"Ngandajika",270051
"Kibombo",62859
"Inongo",172778
"Monkoto",56075
"Kalemie Ville",151409
"Djugu",577242
"Bukavu Ville",416783
"Buta",39668
"Feshi",159106
"Aru",469887
"Kambove",211218
"Kimvula",35829
"Lubumbashi Ville",1185147
"Opala",117395
"Budjala",263079
"Luilu (Mwene-Ditu)",313639
"Matadi Ville",231842
"Zongo Ville",72322
"Luiza",307708
"Ubundu",137659
"Fizi",282921
"Goma Ville",410665
"Niangara",49137
"Bondo",128691
"Libenge",170617
"Moba",269532
"Kalehe",302016
"Kabinda Ville",42367
"Songololo",175757
"Isiro Ville",48596
"Kasenga",162314
"Lodja",411552
"Bunia Ville",139754
"Katako-Kombe",220535
"Kabare",328005
"Mwene-Ditu Ville",154692
"Gemena",396097
"Gemena Ville",102535
"Likasi Ville",224575
"Kabeya-Kamwanga",91498
"Lusambo",143020
"Banalia",115598
"Watsa",189025
"Kikwit Ville",224497
"Pangi",153298
"Bosobolo",123377
"Bikoro",132087
"Kabambare",170094
"Ango",39375
"Kasangulu",144253
"Boma Ville",139490
"Idiofa",527702
"Buta-Ville",33812
"Nyiragongo",150077
"Moanda",175029
"Mbuji-Mayi Ville",509499
"Yumbi",67033
"Kabalo",94216
"Bolomba",152023
"Isangi",220446
"Masisi",623178
"Mweka",271870
"Kasongo",262947
"Kazumba",318407
"Kamiji",29948
"Ikela",175449
"Dibaya",173877
"Sakania",179579
"Masi-Manimba",386169
"Bandundu Ville",108207
"Basankusu",140191
"Boende Ville",33119
"Mushie",73739
"Bumba",405601
"Kutu",277565
"Rutshuru",588654
"Kamina",141888
"Beni Ville",182800
"Lisala",245489
"Mahagi",541928
"Dilolo",153702
"Mitwaba",111235
"Bukama",348539
"Bagata",230333
"Rungu",109714
"Tshikapa Ville",215158
"Lubero",701182
"Mwenga",258624
"Kailo",82257
"Kamina Ville",72789
"Kwamouth",89378
"Befale",72452
"Faradje",186348
"Lukula",144377
"Walungu",330641
"Irumu",280589
"Mobayi-Mbongo",82969
"Yahuma",96367
"Kamonia",587105
"Popokabaka",106569
"Kahemba",109849
"Poko",96346
"Yakoma",167802
"Boende",117147
"Gungu",357217
"Shabunda",186097
"Mambasa",227216
"Lomela",141186
"Idjwi",116988
"Ilebo",203203
"Kungu",301801
"Kole",174186
"Kenge Ville",29592
"Wamba",239473
"Lisala Ville",51863
"Madimba",203435
"Kolwezi Ville",299471
"Mbandaka Ville",160379
"Bulungu",479443
"Uvira",332438
"Mbanza-Ngungu",314664
"Sandoa",107831
